MemoryLimit,Tags,Text,Explanation,Title,TimeLimit,Catagory,SourceLimit,SubCatagory,Constraints
256 MB,"Algorithms,Very-Easy,searching","today, monk went for a walk in a garden. there are many trees in the garden and each tree has an english alphabet on it. while monk was walking, he noticed that all trees with vowels on it are not in good state. he decided to take care of them. so, he asked you to tell him the count of such trees in the garden.note: the following letters are vowels: 'a', 'e', 'i', 'o', 'u' ,'a','e','i','o' and 'u'.","In test case 1, a and o are the only vowels. So, count=2",Monk Takes a Walk,:1.0 sec,searching,1024 KB,linear-search,constraints:$$1 \le t \le 10$$$$1 \le length\ of\ string \le 10^5$$
256 MB,Easy,"manna is extremely disappointed to find out that no one in his college knows his first name. even his classmates call him only by his last name. frustrated, he decides to make his fellow college students know his first name by forcing them to solve this question.you are given a long string as input in each testcase, containing any ascii character. your task is to find out the number of timessuvoandsuvojitappears in it.note: this problem must be solved in c language only.",,Manna&#39;s First Name,:1.0 sec,searching,1024 KB,linear-search,constraints
256 MB,"Ad-Hoc,Basic Programming,Easy","the grandest stage of all, wrestlemania xxx recently happened. and with it, happened one of the biggest heartbreaks for the wwe fans around the world. the undertaker's undefeated streak  was finally over.now as an undertaker fan, you're disappointed, disheartened and shattered to pieces. and little jhool doesn't want to upset you in any way possible. (after all you are his only friend, true friend!) little jhool knows that you're still sensitive to the loss, so he decides to help you out.every time you come across a number, little jhool carefully manipulates it. he doesn't want you to face numbers which have ""21"" as a  part of them. or, in the worst case possible, are divisible by 21.if you end up facing such a number you feel sad... and no one wants that - because you start chanting ""the streak is broken!"" , if the number doesn't make you feel sad, you say,""the streak lives still in our heart!""help little jhool so that he can help you!",,Rest in peace - 21-1!,:1.0 sec,searching,1024 KB,linear-search,constraints:1 ≤ t ≤ 1001 ≤ n ≤ 1000000
256 MB,"Ad-Hoc,Easy","bosky and menot are two friends who participated in gsf hacks prelims on hackerearth, and both of them easily qualified for the on-site round. bosky wants to team up with menot for the on-site round but menot has a date with his girlfriend the same day. bosky thus plans to spoil menot’s date and trigger their breakup.menot and his girlfriend both use a chat application developed by bosky. bosky can read all the messages sent using his app, so he first wants to know whether they have postponed or preponed their date or not. to confirm the same bosky has decided to search for all the days they have discussed about in past week and see which of the day is decided for the date. gsf hacks is on 19th and 20th, if they are going on a date on some other day bosky can attend gsf hacks with his friend, otherwise he will have to come up with some other idea. bosky knows that when his friend and his [friend’s] girlfriend have to choose a day, the girlfriend's choice is given twice more weightage than menot's.the problem is that menot and his girlfriend talk a lot (-_-) and have a very long chat history which bosky cannot read manually to know about their date. bosky asks you to help him write a program that can do the same.he provides you with the chat history in following format.*[g means that it is girlfriend’s message and m means that it is menot’s message]in the above chat history we can see that19have been discussed twice and21has also been discussed twice. but19have weightage4and21has weightage3. disregard human logic, ""21is not"" will still add21to the weightage -- you do not need to implement nlp. bosky thus knows that19has been finalised.note: if multiple days have same maximum weightage the date is cancelled.","19 have been discussed twice and 21 has also been discussed twice. 
But 19 have weightage 4 and 21 has weightage 3.
Hence 19 is decided and ""Date"" is printed",Breakup App,:5.0 sec,searching,1024 KB,linear-search,
256 MB,"Easy-Medium,Rolling Pointer,Set","there are a lot of poke'mons who are jealous of the fact that they do not have any specialty, they're the... normal type of poke'mon. but, what they fail to realize is that their power is their normalcy, the ability to think, rationalize and then act.but, they do have an additional power... poke'mons like jigglypuff - which are normal, can figure out if a trainer is real or is a part of team rocket. and they need to use their power to a great extent.in an array, which consists of $$n$$ elements,a1, a2,..., an, if a subarray has the total number of distinct elements as that of the original array, that determines the presence of team rocket.you've to help the normal type poke'mons in figuring out the total number of subarrays having total number of distinct elements same as that of the original array.","All the possible subarrays are [1,2] , [1,3] , [1,4] , [1,5] , [2,4] , [2,5] , [3,4] , [3,5]",The Normal Type,:1.0 sec,searching,1024 KB,linear-search,constraints:1 ≤ $$n$$ ≤ 2 * 1051 ≤ $$a$$i≤ 109reference:
256 MB,"Algorithms,Binary Search,Easy","square inc. processes thousands of transactions daily amounting to millions of dollars.  they also have a daily target 
that they must achieve.  given a list of transactions done by square inc. and a daily target your task is to determine at
which transaction does square achieves the same.",,Square Transaction,:1.0 sec,searching,1024 KB,binary-search,constraints:1&lt;=t&lt;=1000001&lt;=ai&lt;=10001&lt;=target&lt;= 1091&lt;=q&lt;=1000000problem statement in native language :http://hck.re/7hb1a3
256 MB,"Binary Search,Data Structures,Easy","today, you have been given a task like ones back end developers face on a daily basis. you need to help in dealing with large amount of requests received in a purchasing application. the application has the following properties:consumers place large number of orders via this applicationeach request has a time stamp and an order size associated with it.each order size is considered in terms of kilo-grams and can be of integer weight only.now, the data analytics team needs some information on regular intervals. based on the requests received in the app, you need to help answer all queries posed by the data-analytics team.  so, your task is:given $$2$$ types of queries, the first one being of the form $$1$$ $$x$$ $$t$$, indicates an order of weight $$x$$ is received at time $$t$$. the second one is of the form $$2$$ $$k$$ $$t$$ indicates that the data analytics team asks you about the summation of weight of the orders received during thelast$$k$$ minutes at time $$t$$.  the first query can be of the first type only.for each query, it is guaranteed that they are given in ascending order of time. it means that given $$q$$ queries and each query having a time $$t$$ associated with it, $$ t_{i} &lt; t_{i+1} &lt; t_{i+2}... &lt; t_q $$.","Here, you first receive an order of weight $$20$$ at time $$3$$ , then an order of weight $$40$$ at time $$4$$. Now, for the third query, you need to find the summation of all orders received from time $$0$$ to time $$5$$, i.e $$20$$ + $$40$$ = $$60$$.  Now you finally recieve another order at time $$100$$ , but are asked nothing about it.",Timely Orders,:2.0 sec,searching,1024 KB,binary-search,"constraints:$$ 1 \le q \le 10^5 $$$$ 1 \le t_{i} \le 10^9 $$ ,   $$\forall 1 \le i \le q $$$$ 1 \le x_{i} \le 10^9 $$  , $$\forall 1 \le i \le q $$$$ 1 \le k_{i} \le t_{i} $$  ,   $$\forall 1 \le i \le q $$note:the first query can be of the first type only."
256 MB,"Binary Search,Easy","you are given an arrayaof sizen, andqqueries to deal with. for each query, you are given an integerx, and you're supposed to find out ifxis present in the arrayaor not.",,Discover the Monk,:1.0 sec,searching,1024 KB,binary-search,"constraints:1 &lt;=n, q&lt;= 1051 &lt;=ai&lt;= 1091 &lt;=x&lt;= 109"
256 MB,"Binary Search,Easy","big chandan is a dire lover ofbiryani, especially old monk's biryani. today, he went over to have some of it. to his surprise, the waiter turns out be to be a coding geek and refuses to serves him unless chandu solves his two- arrays problem, stated as:given two non-increasing array of integersa,bi.e a[i] &gt;= a[i+1] and b[i] &gt;= b[i+1] and for all i, 0 ≤ i &lt; n-1.themonkinessof two numbers is given by:m (a[i],b[j]) = j - i, if j &gt;=i and b[j] &gt;= a[i], or 0 otherwise.find the monkiness of the two arrays, that is given by:m (a,b)=  max (m(a[i],b[j])) for 0≤ i, j&lt; n-1.","In the first case, we can see that 3 in the second array is the number which is equal to the 3 in the first array, and the difference between their positions is 5. So, the answer is 5.",The Old Monk,:2.0 sec,searching,1024 KB,binary-search,"constraints:1 &lt;= test cases &lt;= 501 &lt;= n &lt;= 1051 &lt;= ai, bi &lt;= 1012"
256 MB,"Algorithms,Binary Search,Easy,Math","our monk, while taking a stroll in the park, stumped upon a polynomial ( ax2+ bx+c ) lying on the ground.  the polynomial was dying!  being considerate, our monk tried to talk and revive the polynomial. the polynomial said:i have served my purpose, and shall not live anymore. please fulfill my dying wish. find me theleastnon-negative integerxo, that shall make my valueatleastk i.e.,  axo2+ bxo+ c &gt;= k .help our monk fulfill the polynomial's dying wish!",,Monk&#39;s Encounter with Polynomial,:2.0 sec,searching,1024 KB,binary-search,
