operations,2,51,53
least,13,98,111
set,9,108,117
consider,10,79,89
ith,11,66,77
less,6,62,68
-,19,159,178
move,6,91,97
course,8,55,63
(i,7,72,79
integer,17,209,226
go,3,64,67
sequence,16,87,103
still,6,48,54
find,33,331,364
help,29,305,334
note,21,148,169
calculate,7,86,93
interesting,4,47,51
3,14,121,135
0,13,174,187
lets,9,74,83
program,4,73,77
4,7,85,92
<,7,77,84
case,7,65,72
good,4,54,58
string,6,89,95
made,4,51,55
means,5,63,68
read,12,67,79
(1,7,58,65
possible,22,243,265
game,3,102,105
cannot,2,71,73
every,11,162,173
know,15,167,182
words,5,50,55
using,10,100,110
day,7,88,95
going,5,56,61
like,11,117,128
called,10,100,110
always,7,74,81
list,5,56,61
l,13,75,88
large,24,101,125
p,11,70,81
doesnt,7,72,79
either,10,67,77
contain,8,51,59
output,15,106,121
sum,15,144,159
right,7,91,98
modulo,23,88,111
determine,2,68,70
exists,5,52,57
people,4,52,56
chef,31,316,347
consists,5,66,71
second,5,70,75
used,1,51,52
operation,4,52,56
n,63,592,655
special,4,47,51
even,4,78,82
ways,8,71,79
+,20,163,183
since,8,103,111
please,13,132,145
denotes,6,50,56
cell,7,56,63
defined,9,54,63
smallest,1,50,51
7,9,62,71
print,9,62,71
new,6,125,131
row,11,46,57
consisting,12,61,73
?,23,156,179
common,4,48,52
available,6,52,58
recently,6,69,75
initially,6,78,84
chefs,10,86,96
v,4,60,64
however,4,84,88
quite,5,49,54
1),6,70,76
let,10,113,123
x,18,172,190
represented,6,52,58
path,5,60,65
integers,20,190,210
pairs,6,67,73
last,7,66,73
would,2,119,121
g,4,57,61
many,21,211,232
could,11,95,106
equal,15,149,164
example,11,142,153
turn,4,48,52
length,12,103,115
place,5,48,53
asked,3,59,62
first,14,203,217
among,4,52,56
already,2,50,52
statements,8,44,52
dont,3,48,51
point,6,70,76
simple,2,53,55
*,4,51,55
number,47,495,542
one,34,464,498
square,6,49,55
likes,14,75,89
another,8,75,83
array,12,99,111
total,10,101,111
size,6,78,84
city,4,60,64
little,7,64,71
takes,3,54,57
asks,7,55,62
distinct,5,47,52
positive,9,123,132
contains,8,85,93
three,4,64,68
long,5,70,75
next,6,66,72
start,5,57,62
much,11,59,70
call,2,49,51
way,12,136,148
6,4,55,59
:,7,48,55
tell,5,59,64
today,8,65,73
choose,10,91,101
wants,33,271,304
numbered,7,106,113
formally,2,49,51
lot,5,69,74
form,4,76,80
exactly,14,151,165
c,7,108,115
cant,3,49,52
line,4,50,54
given,36,409,445
must,10,100,110
count,3,51,54
distance,4,64,68
b,13,179,192
decided,6,101,107
whether,1,56,57
cells,6,54,60
j,11,85,96
tree,4,52,56
maximum,12,91,103
value,12,142,154
2),6,45,51
considered,5,53,58
r,8,87,95
values,5,64,69
starts,4,52,56
following,14,210,224
problem,19,209,228
k,22,184,206
give,8,53,61
ai,6,77,83
i-th,9,54,63
player,3,49,52
single,6,87,93
minimum,8,102,110
numbers,15,169,184
want,9,121,130
need,8,123,131
1,43,400,443
times,6,87,93
knows,12,59,71
different,18,154,172
end,4,65,69
make,12,151,163
get,8,115,123
able,4,56,60
amount,11,52,63
write,6,72,78
also,28,201,229
interested,7,52,59
5,4,76,80
take,4,85,89
answer,18,101,119
several,5,50,55
=,19,201,220
play,3,79,82
elements,9,75,84
see,4,53,57
may,8,132,140
use,9,68,77
problems,9,74,83
needs,5,71,76
a1,7,48,55
edges,5,49,54
two,24,361,385
pair,6,85,91
queries,1,67,68
without,2,53,55
types,4,53,57
2,18,213,231
n),9,46,55
task,11,183,194
e,22,166,188
assume,2,57,59
well,8,90,98
order,14,136,150
q,2,73,75
points,5,74,79
solve,3,76,79
time,10,177,187
position,2,52,54
otherwise,1,64,65
starting,3,65,68
strings,7,49,56
left,7,79,86
