1097,33,27,60
ways,31,46,77
modulo,26,43,69
chooses,22,38,60
test512,20,36,56
large,35,65,100
vertex,19,36,55
test4,22,42,64
chosen,24,47,71
every,44,89,133
follows,21,44,65
tree,22,47,69
strings,20,43,63
rows,18,39,57
test3,35,76,111
graph,18,40,58
let,21,47,68
count,34,78,112
answer,27,62,89
list,16,37,53
amount,24,56,80
many,63,148,211
consisting,54,127,181
considered,31,74,105
zero,20,48,68
simple,15,36,51
equals,25,60,85
since,17,41,58
result,22,54,76
total,35,86,121
paper,15,37,52
sequence,54,134,188
moves,26,65,91
formally,20,50,70
as,51,128,179
e,83,211,294
string,35,90,125
length,59,152,211
row,28,73,101
connected,27,71,98
friend,14,37,51
k,70,187,257
may,37,99,136
distinct,41,110,151
vertices,19,51,70
denote,16,43,59
columns,16,43,59
j,26,70,96
different,49,132,181
beginning,17,46,63
x,37,174,211
part,14,66,80
characters,11,52,63
so,16,76,92
less,12,57,69
l,13,62,75
end,18,86,104
say,10,48,58
side,11,53,64
it,41,203,244
rectangular,10,50,60
made,12,60,72
times,20,101,121
but,16,81,97
friends,11,56,67
place,13,67,80
city,13,67,80
three,22,114,136
current,9,47,56
would,16,84,100
use,15,79,94
determine,31,165,196
could,12,65,77
system,9,49,58
positions,9,49,58
its,8,44,52
point,21,116,137
plane,10,56,66
petya,9,51,60
r,13,74,87
q,11,63,74
coordinates,9,52,61
3,16,94,110
case,9,53,62
much,15,89,104
please,11,67,78
empty,10,61,71
coordinate,8,49,57
give,9,57,66
like,19,124,143
types,8,53,61
four,8,53,61
y,8,55,63
berland,7,52,59
4,10,76,86
work,6,47,53
queries,7,57,64
likes,6,49,55
containing,6,51,57
whether,5,57,62
