operations,20,56,76,26.3157894737
test1,75,282,357,21.0084033613
all,22,86,108,20.3703703704
test2,119,528,647,18.3925811437
consider,23,95,118,19.4915254237
ith,60,160,220,27.2727272727
less,12,60,72,16.6666666667
money,12,43,55,21.8181818182
move,49,98,147,33.3333333333
test3,38,77,115,33.0434782609
least,45,133,178,25.2808988764
four,9,50,59,15.2542372881
course,20,62,82,24.3902439024
determine,44,166,210,20.9523809524
already,22,67,89,24.7191011236
during,15,43,58,25.8620689655
using,22,64,86,25.5813953488
go,33,76,109,30.2752293578
query,11,40,51,21.568627451
its,9,43,52,17.3076923077
help,95,346,441,21.5419501134
write,23,80,103,22.3300970874
x1,13,43,56,23.2142857143
group,13,40,53,24.5283018868
calculate,21,71,92,22.8260869565
got,30,141,171,17.5438596491
located,23,71,94,24.4680851064
chosen,14,48,62,22.5806451613
graph,15,49,64,23.4375
written,13,66,79,16.4556962025
coordinates,13,56,69,18.8405797101
containing,11,45,56,19.6428571429
to,33,112,145,22.7586206897
lets,38,141,179,21.2290502793
going,14,73,87,16.091954023
4,9,72,81,11.1111111111
what,13,43,56,23.2142857143
input,269,986,1255,21.4342629482
must,49,96,145,33.7931034483
case,13,49,62,20.9677419355
then,34,93,127,26.7716535433
1097,37,17,54,68.5185185185
unfortunately,8,43,51,15.6862745098
string,32,99,131,24.427480916
made,17,65,82,20.7317073171
means,20,66,86,23.2558139535
rules,14,50,64,21.875
petya,12,55,67,17.9104477612
possible,78,273,351,22.2222222222
queries,12,45,57,21.0526315789
game,34,91,125,27.2
cannot,20,56,76,26.3157894737
every,48,116,164,29.2682926829
know,48,177,225,21.3333333333
they,15,59,74,20.2702702703
new,41,153,194,21.1340206186
column,14,43,57,24.5614035088
2,42,126,168,25.0
thus,21,59,80,26.25
now,31,101,132,23.4848484848
day,26,111,137,18.9781021898
condition,12,39,51,23.5294117647
like,25,112,137,18.2481751825
gets,12,54,66,18.1818181818
beginning,23,49,72,31.9444444444
d,76,161,237,32.0675105485
called,33,88,121,27.2727272727
always,12,52,64,18.75
cities,12,40,52,23.0769230769
cell,24,59,83,28.9156626506
vertex,18,35,53,33.9622641509
l,13,60,73,17.8082191781
large,40,67,107,37.3831775701
p,20,53,73,27.397260274
good,17,55,72,23.6111111111
doesnt,42,121,163,25.7668711656
either,31,104,135,22.962962963
positions,11,49,60,18.3333333333
found,23,75,98,23.4693877551
side,10,48,58,17.2413793103
two,131,415,546,23.9926739927
set,26,106,132,19.696969697
test256,234,912,1146,20.4188481675
another,24,84,108,22.2222222222
exists,16,56,72,22.2222222222
people,14,69,83,16.8674698795
starts,16,48,64,25.0
there,43,180,223,19.2825112108
we,38,115,153,24.8366013072
maximum,54,145,199,27.135678392
consists,30,115,145,20.6896551724
second,97,359,456,21.2719298246
used,16,55,71,22.5352112676
result,22,54,76,28.9473684211
year,7,44,51,13.7254901961
contains,28,134,162,17.2839506173
operation,29,73,102,28.431372549
n,180,629,809,22.2496909765
considered,37,77,114,32.4561403509
even,15,73,88,17.0454545455
vasya,18,60,78,23.0769230769
given,90,340,430,20.9302325581
for,83,303,386,21.5025906736
ways,38,53,91,41.7582417582
sum,40,120,160,25.0
since,21,50,71,29.5774647887
please,20,56,76,26.3157894737
per,270,993,1263,21.377672209
find,106,413,519,20.4238921002
current,8,52,60,13.3333333333
arbitrary,13,41,54,24.0740740741
3,23,81,104,22.1153846154
equal,55,180,235,23.4042553191
