roads,22,30,52
graph,28,41,69
connected,40,70,110
edges,23,45,68
vertices,23,56,79
edge,18,44,62
road,15,37,52
vertex,18,45,63
city,22,59,81
v,18,50,68
path,25,72,97
reach,13,43,56
pairs,18,82,100
n1,14,64,78
known,9,47,56
pair,18,96,114
along,12,65,77
moving,8,44,52
multiple,8,46,54
common,8,47,55
side,9,53,62
direction,11,67,78
berland,10,62,72
exists,10,62,72
also,33,210,243
amount,10,64,74
without,11,71,82
tree,11,71,82
initial,9,59,68
playing,8,53,61
moves,13,87,100
xi,7,47,54
see,8,54,62
its,8,55,63
contains,20,138,158
nm,7,49,56
assume,11,77,88
whether,9,65,74
want,14,102,116
numbered,19,142,161
dont,6,45,51
ends,6,45,51
came,7,53,60
picture,6,46,52
bi,6,46,52
conditions,8,62,70
list,6,47,53
called,13,102,115
case,7,55,62
set,15,118,133
coordinate,2,51,53
5,4,102,106
add,2,52,54
special,2,53,55
top,2,54,56
test1,14,378,392
right,6,168,174
rules,2,56,58
calculate,3,84,87
solve,2,57,59
able,2,57,59
elements,3,86,89
test512,2,58,60
segment,2,58,60
points,4,117,121
zero,2,60,62
described,3,90,93
otherwise,2,61,63
line,3,92,95
start,2,65,67
please,2,65,67
all,3,99,102
coordinates,2,66,68
on,2,67,69
0,5,170,175
array,2,69,71
part,2,71,73
asks,2,73,75
form,2,74,76
represented,2,75,77
numbers,7,270,277
take,3,116,119
count,2,78,80
letters,2,79,81
l,2,79,81
last,2,83,85
string,3,126,129
change,2,88,90
ith,5,221,226
write,2,93,95
element,1,50,51
area,1,51,52
1097,1,53,54
strings,1,64,65
modulo,1,69,70
r,1,95,96
row,1,104,105
consecutive,0,55,55
digits,0,64,64
positions,0,57,57
