operations,17,55,72,23.6111111111
test1,97,267,364,26.6483516484
test3,10,99,109,9.17431192661
test2,133,516,649,20.4930662558
consider,17,111,128,13.28125
ith,66,153,219,30.1369863014
less,18,57,75,24.0
when,18,64,82,21.9512195122
move,26,110,136,19.1176470588
must,40,111,151,26.4900662252
list,11,45,56,19.6428571429
four,3,53,56,5.35714285714
course,18,66,84,21.4285714286
determine,54,163,217,24.8847926267
already,26,83,109,23.8532110092
using,21,60,81,25.9259259259
go,22,93,115,19.1304347826
sequence,35,144,179,19.5530726257
find,92,388,480,19.1666666667
help,99,372,471,21.0191082803
write,18,91,109,16.5137614679
5,15,93,108,13.8888888889
but,23,75,98,23.4693877551
calculate,21,77,98,21.4285714286
got,33,114,147,22.4489795918
located,17,78,95,17.8947368421
chosen,15,57,72,20.8333333333
graph,8,51,59,13.5593220339
guaranteed,12,44,56,21.4285714286
written,20,66,86,23.2558139535
coordinates,6,49,55,10.9090909091
follows,12,50,62,19.3548387097
to,32,120,152,21.0526315789
lets,33,169,202,16.3366336634
going,21,71,92,22.8260869565
4,9,70,79,11.3924050633
what,20,32,52,38.4615384615
input,248,1001,1249,19.8558847078
playing,18,40,58,31.0344827586
columns,11,46,57,19.298245614
then,18,106,124,14.5161290323
1097,0,62,62,0.0
string,24,92,116,20.6896551724
made,13,46,59,22.0338983051
means,17,57,74,22.972972973
rules,13,45,58,22.4137931034
petya,10,56,66,15.1515151515
possible,95,256,351,27.0655270655
reach,8,45,53,15.0943396226
game,32,105,137,23.3576642336
cannot,24,55,79,30.3797468354
every,37,126,163,22.6993865031
chooses,14,45,59,23.7288135593
they,23,68,91,25.2747252747
new,37,153,190,19.4736842105
2,32,137,169,18.9349112426
table,18,45,63,28.5714285714
now,19,108,127,14.9606299213
day,39,106,145,26.8965517241
condition,8,47,55,14.5454545455
like,26,122,148,17.5675675676
gets,12,49,61,19.6721311475
d,49,190,239,20.5020920502
immediately,12,49,61,19.6721311475
called,17,100,117,14.5299145299
positions,8,51,59,13.5593220339
cell,17,76,93,18.2795698925
vertex,4,54,58,6.89655172414
l,5,73,78,6.41025641026
large,20,89,109,18.3486238532
p,13,54,67,19.4029850746
good,17,61,78,21.7948717949
doesnt,38,127,165,23.0303030303
either,28,100,128,21.875
contain,18,88,106,16.9811320755
found,20,85,105,19.0476190476
side,11,54,65,16.9230769231
right,35,136,171,20.4678362573
test256,241,919,1160,20.775862069
another,27,101,128,21.09375
exists,15,57,72,20.8333333333
people,14,57,71,19.7183098592
column,11,52,63,17.4603174603
there,43,163,206,20.8737864078
we,29,125,154,18.8311688312
edge,4,55,59,6.77966101695
maximum,62,132,194,31.9587628866
consists,37,107,144,25.6944444444
second,126,349,475,26.5263157895
used,19,50,69,27.5362318841
result,14,52,66,21.2121212121
all,20,72,92,21.7391304348
year,15,40,55,27.2727272727
multiple,10,52,62,16.1290322581
operation,22,73,95,23.1578947368
n,181,624,805,22.4844720497
special,11,41,52,21.1538461538
goes,10,63,73,13.698630137
even,15,69,84,17.8571428571
vasya,20,64,84,23.8095238095
given,86,342,428,20.0934579439
for,67,322,389,17.2236503856
ways,8,75,83,9.63855421687
sum,40,116,156,25.641025641
since,11,51,62,17.7419354839
please,14,60,74,18.9189189189
per,251,1012,1263,19.873317498
current,14,51,65,21.5384615385
case,16,57,73,21.9178082192
3,21,82,103,20.3883495146
equal,46,159,205,22.4390243902
use,20,65,85,23.5294117647
print,15,98,113,13.2743362832
limit,251,1012,1263,19.873317498
squares,7,46,53,13.2075471698
conditions,18,59,77,23.3766233766
consisting,33,134,167,19.7604790419
minimal,15,38,53,28.3018867925
common,7,58,65,10.7692307692
choose,32,114,146,21.9178082192
process,13,61,74,17.5675675676
recently,15,66,81,18.5185185185
whose,6,50,56,10.7142857143
seconds,154,754,908,16.9603524229
0,21,135,156,13.4615384615
each,73,227,300,24.3333333333
equals,17,69,86,19.7674418605
otherwise,15,44,59,25.4237288136
add,13,42,55,23.6363636364
let,13,49,62,20.9677419355
besides,12,47,59,20.3389830508
output,248,1001,1249,19.8558847078
put,15,61,76,19.7368421053
path,15,78,93,16.1290322581
along,11,65,76,14.4736842105
r,9,85,94,9.57446808511
beginning,16,43,59,27.1186440678
change,18,49,67,26.8656716418
digits,12,54,66,18.1818181818
integers,49,216,265,18.4905660377
pairs,14,87,101,13.8613861386
days,19,36,55,34.5454545455
last,20,66,86,23.2558139535
would,30,68,98,30.612244898
always,16,52,68,23.5294117647
row,21,86,107,19.6261682243
of,19,58,77,24.6753246753
could,24,48,72,33.3333333333
words,24,96,120,20.0
according,12,42,54,22.2222222222
outputstandard,248,1001,1249,19.8558847078
example,44,193,237,18.5654008439
length,43,155,198,21.7171717172
edges,6,64,70,8.57142857143
resulting,17,51,68,25.0
asked,13,67,80,16.25
road,11,46,57,19.298245614
thats,16,74,90,17.7777777778
come,10,47,57,17.5438596491
among,23,60,83,27.7108433735
initial,13,50,63,20.6349206349
letters,25,59,84,29.7619047619
point,18,107,125,14.4
simple,8,43,51,15.6862745098
character,8,45,53,15.0943396226
whether,21,54,75,28.0
number,157,615,772,20.3367875648
one,173,628,801,21.5980024969
represented,11,61,72,15.2777777778
color,13,42,55,23.6363636364
set,27,110,137,19.7080291971
long,9,63,72,12.5
megabytes,251,1012,1263,19.873317498
roads,10,49,59,16.9491525424
strictly,14,37,51,27.4509803922
array,11,49,60,18.3333333333
total,46,79,125,36.8
initially,22,90,112,19.6428571429
your,43,158,201,21.3930348259
size,28,75,103,27.1844660194
city,19,67,86,22.0930232558
little,25,83,108,23.1481481481
three,25,105,130,19.2307692308
described,22,63,85,25.8823529412
takes,14,61,75,18.6666666667
asks,11,51,62,17.7419354839
start,14,46,60,23.3333333333
distinct,28,117,145,19.3103448276
positive,28,127,155,18.064516129
top,10,41,51,19.6078431373
contains,36,133,169,21.3017751479
single,17,59,76,22.3684210526
system,8,61,69,11.5942028986
least,39,139,178,21.9101123596
next,13,55,68,19.1176470588
needed,12,42,54,22.2222222222
however,33,88,121,27.2727272727
much,28,84,112,25.0
call,7,57,64,10.9375
way,36,138,174,20.6896551724
memory,251,1012,1263,19.873317498
type,17,42,59,28.813559322
a2,24,60,84,28.5714285714
more,10,50,60,16.6666666667
wants,78,252,330,23.6363636364
numbered,35,126,161,21.7391304348
direction,9,66,75,12.0
formally,16,70,86,18.6046511628
knows,19,88,107,17.7570093458
form,16,60,76,21.0526315789
that,13,118,131,9.92366412214
started,14,42,56,25.0
thus,18,62,80,22.5
exactly,65,255,320,20.3125
c,69,247,316,21.835443038
cant,18,63,81,22.2222222222
task,69,243,312,22.1153846154
part,21,52,73,28.7671232877
known,19,32,51,37.2549019608
line,16,76,92,17.3913043478
x1,14,42,56,25.0
he,60,225,285,21.0526315789
count,9,82,91,9.89010989011
distance,9,66,75,12.0
modulo,1,71,72,1.38888888889
b,86,351,437,19.6796338673
unfortunately,14,47,61,22.9508196721
this,19,89,108,17.5925925926
cells,15,68,83,18.0722891566
starts,10,57,67,14.9253731343
tree,8,64,72,11.1111111111
see,7,59,66,10.6060606061
value,40,136,176,22.7272727273
rectangular,7,53,60,11.6666666667
assume,19,80,99,19.1919191919
decided,52,176,228,22.8070175439
values,21,64,85,24.7058823529
empty,16,61,77,20.7792207792
loves,18,84,102,17.6470588235
many,38,183,221,17.1945701357
following,55,252,307,17.9153094463
n1,15,55,70,21.4285714286
problem,29,159,188,15.4255319149
define,9,50,59,15.2542372881
integer,45,181,226,19.9115044248
k,62,213,275,22.5454545455
say,9,53,62,14.5161290323
numbers,53,235,288,18.4027777778
and,17,64,81,20.987654321
program,12,74,86,13.9534883721
v,7,60,67,10.447761194
give,18,33,51,35.2941176471
ai,48,102,150,32.0
certain,11,40,51,21.568627451
in,74,343,417,17.7458033573
test4,3,48,51,5.88235294118
it,59,184,243,24.2798353909
an,24,72,96,25.0
know,40,170,210,19.0476190476
as,34,141,175,19.4285714286
minimum,67,152,219,30.5936073059
at,30,96,126,23.8095238095
want,25,88,113,22.1238938053
allowed,22,60,82,26.8292682927
need,33,103,136,24.2647058824
corresponding,10,43,53,18.8679245283
1,85,373,458,18.5589519651
moves,15,71,86,17.4418604651
berland,17,53,70,24.2857142857
if,58,204,262,22.1374045802
different,38,156,194,19.587628866
end,31,68,99,31.3131313131
nm,13,53,66,19.696969697
zero,14,47,61,22.9508196721
considered,22,91,113,19.4690265487
perform,15,62,77,19.4805194805
make,39,155,194,20.1030927835
get,63,146,209,30.1435406699
able,10,52,62,16.1290322581
amount,25,57,82,30.487804878
j,17,83,100,17.0
note,29,121,150,19.3333333333
also,65,181,246,26.4227642276
without,22,67,89,24.7191011236
square,13,75,88,14.7727272727
take,33,80,113,29.203539823
adjacent,12,46,58,20.6896551724
answer,8,92,100,8.0
solve,10,61,71,14.0845070423
you,60,277,337,17.8041543027
several,25,99,124,20.1612903226
play,19,57,76,25.0
elements,15,68,83,18.0722891566
denote,10,42,52,19.2307692308
may,22,117,139,15.8273381295
after,39,123,162,24.0740740741
friends,14,48,62,22.5806451613
needs,34,75,109,31.1926605505
a1,25,70,95,26.3157894737
y,9,51,60,15.0
moment,15,70,85,17.6470588235
plane,4,54,58,6.89655172414
connected,27,90,117,23.0769230769
two,117,420,537,21.7877094972
characters,8,48,56,14.2857142857
x,38,183,221,17.1945701357
pair,20,102,122,16.393442623
rows,8,48,56,14.2857142857
on,22,61,83,26.5060240964
segment,7,54,61,11.4754098361
types,16,48,64,25.0
times,29,80,109,26.6055045872
a,99,418,517,19.1489361702
test512,3,48,51,5.88235294118
e,45,259,304,14.8026315789
i,12,78,90,13.3333333333
queries,1,52,53,1.88679245283
required,15,44,59,25.4237288136
well,18,93,111,16.2162162162
vertices,3,64,67,4.4776119403
inputstandard,248,1001,1249,19.8558847078
strings,14,54,68,20.5882352941
q,6,61,67,8.9552238806
points,19,96,115,16.5217391304
so,26,75,101,25.7425742574
place,23,59,82,28.0487804878
time,251,1012,1263,19.873317498
coordinate,8,46,54,14.8148148148
position,16,78,94,17.0212765957
the,159,638,797,19.9498117942
first,61,239,300,20.3333333333
starting,16,47,63,25.3968253968
order,62,188,250,24.8
came,14,49,63,22.2222222222
left,45,132,177,25.4237288136
