operations,19,53,72,26.3888888889
test1,104,293,397,26.1964735516
test3,16,86,102,15.6862745098
otherwise,9,56,65,13.8461538462
consider,24,92,116,20.6896551724
ith,31,206,237,13.0801687764
less,14,57,71,19.7183098592
when,23,60,83,27.7108433735
move,26,125,151,17.2185430464
all,9,97,106,8.49056603774
least,27,157,184,14.6739130435
four,16,49,65,24.6153846154
course,15,68,83,18.0722891566
determine,39,160,199,19.5979899497
test2,138,490,628,21.974522293
program,15,68,83,18.0722891566
during,10,47,57,17.5438596491
using,8,67,75,10.6666666667
go,25,90,115,21.7391304348
its,13,42,55,23.6363636364
help,103,346,449,22.9398663697
write,19,76,95,20.0
x1,16,39,55,29.0909090909
group,9,47,56,16.0714285714
calculate,23,73,96,23.9583333333
got,38,131,169,22.4852071006
located,20,62,82,24.3902439024
chosen,10,55,65,15.3846153846
graph,5,53,58,8.62068965517
written,17,55,72,23.6111111111
coordinates,22,44,66,33.3333333333
containing,8,43,51,15.6862745098
to,29,118,147,19.7278911565
must,26,120,146,17.8082191781
going,21,72,93,22.5806451613
4,20,57,77,25.974025974
what,21,50,71,29.5774647887
input,283,974,1257,22.5139220366
playing,15,49,64,23.4375
case,19,44,63,30.1587301587
columns,11,48,59,18.6440677966
then,23,100,123,18.6991869919
1097,23,40,63,36.5079365079
string,9,124,133,6.76691729323
made,14,61,75,18.6666666667
means,24,63,87,27.5862068966
rules,12,47,59,20.3389830508
petya,18,39,57,31.5789473684
possible,65,299,364,17.8571428571
queries,6,46,52,11.5384615385
game,25,112,137,18.2481751825
cannot,11,75,86,12.7906976744
every,28,130,158,17.7215189873
chooses,16,45,61,26.2295081967
they,20,79,99,20.202020202
new,40,162,202,19.801980198
column,8,46,54,14.8148148148
2,37,118,155,23.8709677419
table,12,55,67,17.9104477612
now,32,108,140,22.8571428571
day,26,123,149,17.4496644295
like,26,115,141,18.4397163121
thus,14,70,84,16.6666666667
gets,16,59,75,21.3333333333
d,45,198,243,18.5185185185
immediately,9,42,51,17.6470588235
called,26,100,126,20.6349206349
positions,12,49,61,19.6721311475
already,21,81,102,20.5882352941
cell,13,65,78,16.6666666667
l,21,59,80,26.25
large,32,77,109,29.3577981651
p,16,69,85,18.8235294118
good,9,55,64,14.0625
doesnt,33,130,163,20.245398773
either,20,118,138,14.4927536232
contain,15,76,91,16.4835164835
found,16,84,100,16.0
without,18,65,83,21.686746988
side,13,50,63,20.6349206349
two,116,443,559,20.7513416816
set,25,120,145,17.2413793103
test256,258,887,1145,22.5327510917
another,18,79,97,18.5567010309
exists,18,56,74,24.3243243243
people,13,56,69,18.8405797101
starts,16,54,70,22.8571428571
there,39,174,213,18.3098591549
we,23,114,137,16.7883211679
know,47,183,230,20.4347826087
maximum,38,174,212,17.9245283019
