represent,32,125,157,20.3821656051
code,9,44,53,16.9811320755
consider,63,252,315,20.0
go,68,285,353,19.2634560907
query,17,78,95,17.8947368421
row,45,141,186,24.1935483871
calculate,38,138,176,21.5909090909
graph,18,67,85,21.1764705882
send,10,50,60,16.6666666667
program,28,149,177,15.8192090395
include,13,52,65,20.0
digit,20,76,96,20.8333333333
string,42,164,206,20.3883495146
decide,64,276,340,18.8235294118
condition,41,104,145,28.275862069
school,7,49,56,12.5
list,20,80,100,20.0
try,17,73,90,18.8888888889
p,27,93,120,22.5
team,6,45,51,11.7647058824
small,36,124,160,22.5
round,8,49,57,14.0350877193
berland,7,80,87,8.04597701149
chef,21,117,138,15.2173913043
second,302,1260,1562,19.3341869398
cost,12,54,66,18.1818181818
pass,13,70,83,15.6626506024
rectangular,16,57,73,21.9178082192
even,23,122,145,15.8620689655
index,29,88,117,24.7863247863
appear,13,59,72,18.0555555556
sum,51,177,228,22.3684210526
cell,32,106,138,23.1884057971
new,42,240,282,14.8936170213
satisfy,12,49,61,19.6721311475
never,12,49,61,19.6721311475
let,69,298,367,18.8010899183
path,29,91,120,24.1666666667
change,27,136,163,16.5644171779
boy,12,49,61,19.6721311475
great,24,97,121,19.8347107438
receive,12,65,77,15.5844155844
k,89,291,380,23.4210526316
amount,36,81,117,30.7692307692
pick,13,39,52,25.0
thats,23,80,103,22.3300970874
love,31,121,152,20.3947368421
divide,30,83,113,26.5486725664
win,17,62,79,21.5189873418
ask,38,187,225,16.8888888889
total,41,146,187,21.9251336898
select,13,47,60,21.6666666667
use,62,266,328,18.9024390244
distinct,41,146,187,21.9251336898
positive,53,192,245,21.6326530612
contains,15,64,79,18.9873417722
visit,10,60,70,14.2857142857
next,15,71,86,17.4418604651
live,14,49,63,22.2222222222
call,60,216,276,21.7391304348
memory,298,1239,1537,19.388418998
type,25,126,151,16.5562913907
tell,16,84,100,16.0
today,9,76,85,10.5882352941
more,6,46,52,11.5384615385
sort,12,49,61,19.6721311475
formally,22,83,105,20.9523809524
company,12,54,66,18.1818181818
particular,11,46,57,19.298245614
hold,25,81,106,23.5849056604
high,15,48,63,23.8095238095
lowercase,14,44,58,24.1379310345
word,37,132,169,21.8934911243
f,27,66,93,29.0322580645
work,16,112,128,12.5
remain,20,90,110,18.1818181818
learn,9,69,78,11.5384615385
already,19,105,124,15.3225806452
meet,19,80,99,19.1919191919
