represent,29,147,176,16.4772727273
consider,43,285,328,13.1097560976
go,69,278,347,19.8847262248
query,12,96,108,11.1111111111
row,14,167,181,7.73480662983
calculate,12,156,168,7.14285714286
graph,44,29,73,60.2739726027
program,28,147,175,16.0
include,16,37,53,30.1886792453
digit,6,111,117,5.12820512821
string,16,192,208,7.69230769231
decide,58,259,317,18.2965299685
minute,8,43,51,15.6862745098
list,15,74,89,16.8539325843
large,27,212,239,11.2970711297
p,15,99,114,13.1578947368
small,17,137,154,11.038961039
round,3,51,54,5.55555555556
berland,23,63,86,26.7441860465
chef,11,140,151,7.28476821192
second,220,1343,1563,14.0754958413
follow,78,450,528,14.7727272727
rectangular,14,55,69,20.2898550725
even,19,129,148,12.8378378378
index,16,104,120,13.3333333333
appear,9,51,60,15.0
sum,25,208,233,10.7296137339
cell,26,99,125,20.8
new,37,229,266,13.9097744361
satisfy,11,54,65,16.9230769231
never,15,51,66,22.7272727273
let,52,300,352,14.7727272727
path,51,77,128,39.84375
change,24,129,153,15.6862745098
great,13,103,116,11.2068965517
receive,10,58,68,14.7058823529
k,55,325,380,14.4736842105
amount,21,81,102,20.5882352941
pick,9,54,63,14.2857142857
thats,21,78,99,21.2121212121
love,16,123,139,11.5107913669
divide,28,90,118,23.7288135593
win,8,82,90,8.88888888889
ask,32,182,214,14.953271028
apply,7,45,52,13.4615384615
total,39,153,192,20.3125
select,5,48,53,9.43396226415
use,54,287,341,15.8357771261
distinct,33,158,191,17.277486911
positive,25,186,211,11.8483412322
contains,6,61,67,8.9552238806
visit,22,62,84,26.1904761905
next,15,84,99,15.1515151515
live,16,46,62,25.8064516129
call,42,229,271,15.4981549815
memory,219,1309,1528,14.332460733
type,21,125,146,14.3835616438
tell,8,93,101,7.92079207921
today,7,84,91,7.69230769231
more,10,62,72,13.8888888889
sort,4,59,63,6.34920634921
formally,17,105,122,13.9344262295
initial,18,70,88,20.4545454545
company,15,43,58,25.8620689655
particular,11,45,56,19.6428571429
hold,17,75,92,18.4782608696
substring,3,75,78,3.84615384615
lowercase,7,45,52,13.4615384615
word,26,143,169,15.3846153846
f,16,68,84,19.0476190476
work,17,93,110,15.4545454545
remain,16,81,97,16.4948453608
v,27,64,91,29.6703296703
already,22,122,144,15.2777777778
meet,20,58,78,25.641025641
root,19,34,53,35.8490566038
example,31,290,321,9.65732087227
figure,2,50,52,3.84615384615
give,97,726,823,11.7861482382
process,14,89,103,13.5922330097
share,13,46,59,22.0338983051
high,6,58,64,9.375
minimum,56,238,294,19.0476190476
want,96,556,652,14.7239263804
nonnegative,9,53,62,14.5161290323
occur,6,56,62,9.67741935484
guarantee,20,64,84,23.8095238095
information,11,44,55,20.0
end,35,203,238,14.7058823529
goal,12,49,61,19.6721311475
turn,16,132,148,10.8108108108
travel,16,48,64,25.0
write,32,254,286,11.1888111888
adjacent,11,68,79,13.9240506329
answer,17,155,172,9.88372093023
instead,7,48,55,12.7272727273
walk,11,46,57,19.298245614
plane,13,75,88,14.7727272727
short,21,36,57,36.8421052632
remember,8,46,54,14.8148148148
third,6,49,55,10.9090909091
correspond,15,71,86,17.4418604651
element,13,189,202,6.43564356436
q,13,87,100,13.0
so,23,89,112,20.5357142857
allow,26,125,151,17.2185430464
order,60,320,380,15.7894736842
help,94,529,623,15.088282504
ith,45,297,342,13.1578947368
move,53,224,277,19.1335740072
soon,9,42,51,17.6470588235
course,17,97,114,14.9122807018
paper,9,63,72,12.5
still,11,60,71,15.4929577465
group,10,54,64,15.625
li,5,48,53,9.43396226415
condition,31,112,143,21.6783216783
maximal,10,41,51,19.6078431373
then,16,121,137,11.6788321168
good,15,103,118,12.7118644068
return,14,40,54,25.9259259259
now,24,138,162,14.8148148148
day,29,179,208,13.9423076923
name,16,60,76,21.0526315789
always,19,100,119,15.9663865546
decimal,4,50,54,7.40740740741
l,6,124,130,4.61538461538
side,16,102,118,13.5593220339
mean,19,132,151,12.582781457
square,15,124,139,10.7913669065
connect,84,68,152,55.2631578947
year,10,75,85,11.7647058824
operation,21,159,180,11.6666666667
special,14,64,78,17.9487179487
really,7,53,60,11.6666666667
leave,29,235,264,10.9848484848
increase,11,119,130,8.46153846154
print,29,147,176,16.4772727273
correct,7,54,61,11.4754098361
quite,6,45,51,11.7647058824
put,18,105,123,14.6341463415
g,16,65,81,19.7530864198
outputstandard,214,1291,1505,14.219269103
keep,9,45,54,16.6666666667
thing,11,54,65,16.9230769231
length,37,260,297,12.4579124579
place,22,152,174,12.6436781609
think,17,88,105,16.1904761905
first,59,406,465,12.688172043
xi,10,62,72,13.8888888889
dont,17,53,70,24.2857142857
number,168,1100,1268,13.2492113565
