represent,19,139,158,12.0253164557
consider,31,280,311,9.96784565916
go,61,300,361,16.8975069252
query,0,95,95,0.0
row,21,145,166,12.6506024096
calculate,27,149,176,15.3409090909
graph,10,62,72,13.8888888889
program,25,129,154,16.2337662338
include,5,55,60,8.33333333333
digit,11,75,86,12.7906976744
string,18,179,197,9.13705583756
decide,57,257,314,18.152866242
condition,17,124,141,12.0567375887
list,10,72,82,12.1951219512
ri,8,49,57,14.0350877193
large,38,205,243,15.6378600823
p,12,103,115,10.4347826087
small,26,122,148,17.5675675676
berland,18,70,88,20.4545454545
chef,5,124,129,3.87596899225
second,262,1312,1574,16.6454891995
cost,18,43,61,29.5081967213
pass,14,54,68,20.5882352941
rectangular,8,60,68,11.7647058824
even,28,126,154,18.1818181818
index,12,106,118,10.1694915254
appear,6,60,66,9.09090909091
sum,45,209,254,17.7165354331
cell,22,96,118,18.6440677966
new,46,239,285,16.1403508772
satisfy,10,64,74,13.5135135135
never,6,45,51,11.7647058824
let,46,309,355,12.9577464789
path,10,123,133,7.51879699248
change,36,133,169,21.3017751479
great,22,104,126,17.4603174603
receive,14,52,66,21.2121212121
k,58,319,377,15.3846153846
amount,28,82,110,25.4545454545
pick,8,53,61,13.1147540984
thats,11,90,101,10.8910891089
love,26,131,157,16.5605095541
divide,19,100,119,15.9663865546
win,15,70,85,17.6470588235
ask,33,189,222,14.8648648649
apply,5,46,51,9.80392156863
total,46,148,194,23.7113402062
unit,11,64,75,14.6666666667
use,57,284,341,16.715542522
distinct,26,149,175,14.8571428571
positive,26,191,217,11.9815668203
contains,9,69,78,11.5384615385
visit,7,70,77,9.09090909091
next,17,85,102,16.6666666667
live,9,60,69,13.0434782609
call,29,251,280,10.3571428571
memory,258,1276,1534,16.8187744459
type,24,127,151,15.8940397351
tell,15,92,107,14.0186915888
today,12,72,84,14.2857142857
more,12,41,53,22.641509434
sort,11,46,57,19.298245614
formally,18,84,102,17.6470588235
particular,7,46,53,13.2075471698
hold,17,82,99,17.1717171717
high,20,56,76,26.3157894737
lowercase,10,55,65,15.3846153846
word,24,159,183,13.1147540984
f,9,72,81,11.1111111111
work,16,89,105,15.2380952381
remain,24,85,109,22.0183486239
learn,14,59,73,19.1780821918
already,19,100,119,15.9663865546
meet,13,70,83,15.6626506024
example,47,262,309,15.2103559871
beautiful,8,45,53,15.0943396226
give,94,721,815,11.5337423313
process,15,93,108,13.8888888889
share,10,45,55,18.1818181818
substring,3,65,68,4.41176470588
minimum,70,224,294,23.8095238095
want,119,520,639,18.6228482003
nonnegative,11,45,56,19.6428571429
occur,8,48,56,14.2857142857
guarantee,16,68,84,19.0476190476
information,11,43,54,20.3703703704
end,43,166,209,20.5741626794
goal,12,45,57,21.0526315789
turn,16,134,150,10.6666666667
travel,8,55,63,12.6984126984
write,40,231,271,14.7601476015
adjacent,20,54,74,27.027027027
answer,9,152,161,5.5900621118
instead,8,50,58,13.7931034483
walk,4,49,53,7.54716981132
plane,5,80,85,5.88235294118
parallel,4,50,54,7.40740740741
short,3,53,56,5.35714285714
third,13,51,64,20.3125
correspond,13,71,84,15.4761904762
element,21,152,173,12.1387283237
q,4,98,102,3.92156862745
so,24,80,104,23.0769230769
allow,25,104,129,19.3798449612
order,70,303,373,18.7667560322
help,116,539,655,17.7099236641
ith,67,270,337,19.881305638
move,36,224,260,13.8461538462
soon,11,47,58,18.9655172414
course,17,95,112,15.1785714286
paper,5,53,58,8.62068965517
still,10,60,70,14.2857142857
group,9,56,65,13.8461538462
li,13,51,64,20.3125
choose,52,269,321,16.199376947
main,7,48,55,12.7272727273
maximal,11,42,53,20.7547169811
then,25,122,147,17.0068027211
good,10,100,110,9.09090909091
return,6,47,53,11.320754717
now,20,156,176,11.3636363636
day,38,184,222,17.1171171171
name,8,66,74,10.8108108108
always,12,98,110,10.9090909091
l,9,117,126,7.14285714286
follow,62,459,521,11.9001919386
side,19,93,112,16.9642857143
mean,22,117,139,15.8273381295
square,14,121,135,10.3703703704
there,45,171,216,20.8333333333
hard,5,50,55,9.09090909091
connect,22,138,160,13.75
year,20,76,96,20.8333333333
operation,31,155,186,16.6666666667
special,9,70,79,11.3924050633
really,9,48,57,15.7894736842
leave,53,213,266,19.9248120301
increase,14,96,110,12.7272727273
print,20,151,171,11.6959064327
correct,8,51,59,13.5593220339
quite,7,50,57,12.2807017544
put,24,91,115,20.8695652174
remainder,3,48,51,5.88235294118
g,10,60,70,14.2857142857
outputstandard,257,1257,1514,16.9749009247
keep,10,51,61,16.393442623
thing,6,62,68,8.82352941176
length,31,254,285,10.8771929825
place,28,137,165,16.9696969697
w,5,48,53,9.43396226415
think,11,93,104,10.5769230769
first,61,383,444,13.7387387387
xi,12,51,63,19.0476190476
dont,14,61,75,18.6666666667
number,200,1045,1245,16.0642570281
one,14,66,80,17.5
impossible,14,42,56,25.0
array,20,133,153,13.0718954248
size,33,133,166,19.8795180723
city,22,101,123,17.8861788618
little,28,145,173,16.1849710983
top,14,63,77,18.1818181818
system,10,83,93,10.752688172
least,37,183,220,16.8181818182
paint,8,58,66,12.1212121212
statement,2,59,61,3.27868852459
final,11,43,54,20.3703703704
friend,12,99,111,10.8108108108
lot,13,73,86,15.1162790698
exactly,74,340,414,17.8743961353
part,18,102,120,15.0
x2,9,48,57,15.7894736842
x1,14,65,79,17.7215189873
distance,13,116,129,10.0775193798
b,85,434,519,16.3776493256
unfortunately,17,70,87,19.5402298851
require,19,73,92,20.652173913
tree,10,83,93,10.752688172
