represent,24,148,172,13.9534883721
consider,51,261,312,16.3461538462
go,55,296,351,15.6695156695
query,6,82,88,6.81818181818
row,20,145,165,12.1212121212
calculate,38,160,198,19.1919191919
graph,6,78,84,7.14285714286
send,6,52,58,10.3448275862
program,21,149,170,12.3529411765
include,6,56,62,9.67741935484
digit,26,90,116,22.4137931034
string,24,206,230,10.4347826087
decide,53,264,317,16.7192429022
difference,7,48,55,12.7272727273
condition,25,115,140,17.8571428571
list,12,83,95,12.6315789474
solution,11,42,53,20.7547169811
try,14,74,88,15.9090909091
p,23,97,120,19.1666666667
small,23,119,142,16.1971830986
berland,9,68,77,11.6883116883
chef,16,133,149,10.7382550336
second,277,1280,1557,17.7906229929
cost,4,57,61,6.55737704918
pass,6,53,59,10.1694915254
rectangular,10,58,68,14.7058823529
even,29,118,147,19.7278911565
index,8,96,104,7.69230769231
appear,7,45,52,13.4615384615
sum,50,198,248,20.1612903226
cell,15,109,124,12.0967741935
new,44,241,285,15.4385964912
satisfy,15,54,69,21.7391304348
never,8,51,59,13.5593220339
let,69,280,349,19.770773639
path,5,103,108,4.62962962963
change,21,142,163,12.8834355828
boy,9,45,54,16.6666666667
great,16,98,114,14.0350877193
receive,17,62,79,21.5189873418
k,69,303,372,18.5483870968
amount,12,87,99,12.1212121212
pick,13,46,59,22.0338983051
thats,12,81,93,12.9032258065
love,24,118,142,16.9014084507
divide,24,78,102,23.5294117647
win,11,61,72,15.2777777778
replace,8,49,57,14.0350877193
ask,33,173,206,16.0194174757
total,24,159,183,13.1147540984
select,6,49,55,10.9090909091
use,42,293,335,12.5373134328
distinct,38,150,188,20.2127659574
positive,55,169,224,24.5535714286
contains,5,79,84,5.95238095238
visit,9,72,81,11.1111111111
next,13,89,102,12.7450980392
live,15,45,60,25.0
call,45,231,276,16.3043478261
memory,273,1252,1525,17.9016393443
type,11,118,129,8.52713178295
tell,18,93,111,16.2162162162
today,21,67,88,23.8636363636
more,7,54,61,11.4754098361
sort,10,47,57,17.5438596491
